name,urls,exodus_link
Startapp,"c2i.startappnetwork.com, c2s.startappnetwork.com, click.startappservice.com, dts.startappservice.com, events.startappservice.com, images.startappservice.com, imp.startappservice.com, info.static.startappservice.com, init.startappservice.com, req.startappservice.com, soda.startappservice.com, startappservice.com, va.origin.startappservice.com",https://reports.exodus-privacy.eu.org/en/trackers/195/
Supersonic Ads,"click-haproxy.supersonicads.com, cx.ssacdn.com, init.supersonicads.com, logs.supersonic.com, outcome.supersonicads.com, ow-gateway.supersonicads.com, pixel-tracking.sonic-us.supersonicads.com, rv-gateway.supersonicads.com, static.ssacdn.com, supersonic.com, supersonicads-a.akamaihd.net, tag-mediation.supersonic.com, ua.supersonicads.com, v.ssacdn.com, www.supersonicads.com",https://reports.exodus-privacy.eu.org/en/trackers/110/
Swirl,cdn-api.swirl.com,https://reports.exodus-privacy.eu.org/en/trackers/418/
Swrve,"api.swrve.com, content.swrve.com",https://reports.exodus-privacy.eu.org/en/trackers/192/
Sync2Ad,sync2ad.com,https://reports.exodus-privacy.eu.org/en/trackers/24/
Synerise,synerise.com,https://reports.exodus-privacy.eu.org/en/trackers/434/
Taboola,taboola.com,https://reports.exodus-privacy.eu.org/en/trackers/173/
TalkingData,"account.talkingdata.com, av1.xdrig.com, cloud.xdrig.com, m.talkingdata.com, push.xdrig.com",https://reports.exodus-privacy.eu.org/en/trackers/293/
Tamoco,evt.tamoco.com,https://reports.exodus-privacy.eu.org/en/trackers/307/
Tapdaq,ads.tapdaq.com,https://reports.exodus-privacy.eu.org/en/trackers/258/
Tapjoy,"tapjoy.com, tapjoyads.com, www.5rocks.io",https://reports.exodus-privacy.eu.org/en/trackers/199/
Taplytics,"api.taplytics.com, ping.tapylitics.com",https://reports.exodus-privacy.eu.org/en/trackers/211/
Teads,teads.tv,https://reports.exodus-privacy.eu.org/en/trackers/230/
Tealium,"tealiumiq.com, tiqcdn.com",https://reports.exodus-privacy.eu.org/en/trackers/32/
Teemo,databerries.com,https://reports.exodus-privacy.eu.org/en/trackers/1/
TeleQuid,mars.telequid.com,https://reports.exodus-privacy.eu.org/en/trackers/87/
Tinder Analytics,etl.tindersparks.com,https://reports.exodus-privacy.eu.org/en/trackers/29/
Tune,mobileapptracking.com,https://reports.exodus-privacy.eu.org/en/trackers/38/
Tutucloud,tusdk.com,https://reports.exodus-privacy.eu.org/en/trackers/440/
Twitter MoPub,mopub.com,https://reports.exodus-privacy.eu.org/en/trackers/35/
UXCam,verify.uxcam.com,https://reports.exodus-privacy.eu.org/en/trackers/253/
Uber Analytics,events.uber.com,https://reports.exodus-privacy.eu.org/en/trackers/78/
Umeng Analytics,"alog.umeng.com, alogs.umeng.com, ar.umeng.com, oc.umeng.com, umeng.com, uop.umeng.com",https://reports.exodus-privacy.eu.org/en/trackers/119/
Umeng Feedback,"alog.umeng.com, alogs.umeng.com, ar.umeng.com, oc.umeng.com, umeng.com, uop.umeng.com",https://reports.exodus-privacy.eu.org/en/trackers/120/
Unity3d Ads,"adserver.unityads.unity3d.com, analytics.social.unity.com, api.uca.cloud.unity3d.com, auction.unityads.unity3d.com, cdn-highwinds.unityads.unity3d.com, cdn.unityads.unity3d.com, config.uca.cloud.unity3d.com, config.unityads.unity3d.com, stats.unity3d.com, webview.unityads.unity3d.com",https://reports.exodus-privacy.eu.org/en/trackers/121/
